GEO.id,GEO.id2,HC01_EST_VC02,HC02_EST_VC02
8600000US76527,76527,1509,47214
8600000US76530,76530,921,52563
8600000US76537,76537,1376,53318
8600000US76574,76574,6492,47854
8600000US76578,76578,547,57589
8600000US78610,78610,8943,74550
8600000US78617,78617,5945,45040
8600000US78626,78626,8830,57602
8600000US78628,78628,9566,79813
8600000US78633,78633,9448,73324
8600000US78634,78634,8207,73977
8600000US78640,78640,13329,66789
8600000US78641,78641,16033,73535
8600000US78642,78642,3143,72388
8600000US78645,78645,4354,70854
8600000US78652,78652,1931,70868
8600000US78664,78664,19332,61673
8600000US78665,78665,12541,85048
8600000US78676,78676,5283,69485
8600000US78681,78681,17448,96086
8600000US78701,78701,3948,87306
8600000US78702,78702,8372,37690
8600000US78703,78703,9716,81903
8600000US78704,78704,21385,52306
8600000US78717,78717,9011,99541
8600000US78721,78721,4158,36698
8600000US78722,78722,2931,54526
8600000US78723,78723,11715,42615
8600000US78725,78725,2338,65048
8600000US78726,78726,5315,68777
8600000US78727,78727,12674,69699
8600000US78728,78728,9543,49521
8600000US78729,78729,12478,60567
8600000US78731,78731,12369,79315
8600000US78733,78733,3077,127250
8600000US78735,78735,7327,81152
8600000US78736,78736,2789,86439
8600000US78738,78738,4636,127683
8600000US78739,78739,5828,130199
8600000US78741,78741,19396,31192
8600000US78744,78744,13172,41331
8600000US78745,78745,24734,52949
8600000US78746,78746,10892,128556
8600000US78748,78748,16980,68835
8600000US78749,78749,14258,84954
8600000US78751,78751,7396,41279
8600000US78752,78752,7480,37396
8600000US78753,78753,18363,39228
8600000US78756,78756,4314,63750
8600000US78757,78757,10685,60856
8600000US78758,78758,17566,44476
8600000US78759,78759,19815,70095
