RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2011,2012,2013,2014,2015
92555,78617,Austin,TX,Austin,Travis,5962,98866.66667,111933.3333,116041.6667,126100,139883.3333
92614,78701,Austin,TX,Austin,Travis,6563,307100,320041.6667,361916.6667,395241.6667,433483.3333
92615,78702,Austin,TX,Austin,Travis,4236,197525,208316.6667,236500,271916.6667,312458.3333
92616,78703,Austin,TX,Austin,Travis,3198,524691.6667,534483.3333,589325,647558.3333,724150
92617,78704,Austin,TX,Austin,Travis,76,303375,324616.6667,365675,409483.3333,456833.3333
92628,78717,Austin,TX,Austin,Travis,3073,232191.6667,233225,250841.6667,269500,294733.3333
92632,78721,Austin,TX,Austin,Travis,7804,123291.6667,123683.3333,142033.3333,169208.3333,203058.3333
92633,78722,Austin,TX,Austin,Travis,8611,246608.3333,267100,299950,322725,356800
92634,78723,Austin,TX,Austin,Travis,2533,172741.6667,182316.6667,211300,250850,279466.6667
92636,78725,Austin,TX,Austin,Travis,9333,97000,99916.66667,106800,118550,134566.6667
92637,78726,Austin,TX,Austin,Travis,6394,324458.3333,334408.3333,347775,383725,401825
92638,78727,Austin,TX,Austin,Travis,2648,183600,189925,206858.3333,226641.6667,252566.6667
92639,78728,Austin,TX,Austin,Travis,3543,159625,161775,172258.3333,190225,207950
92642,78731,Austin,TX,Austin,Travis,2487,426250,453741.6667,473791.6667,522300,568458.3333
92644,78733,Austin,TX,Austin,Travis,8625,477650,494333.3333,504483.3333,546316.6667,588966.6667
92646,78735,Austin,TX,Austin,Travis,5388,325675,334575,367350,401216.6667,430158.3333
92647,78736,Austin,TX,Austin,Travis,8500,221650,228216.6667,245758.3333,264466.6667,282783.3333
92650,78739,Austin,TX,Austin,Travis,6395,310050,323900,348283.3333,381175,400433.3333
92651,78741,Austin,TX,Austin,Travis,425,114875,121066.6667,133766.6667,137525,145116.6667
92653,78744,Austin,TX,Austin,Travis,1995,99383.33333,100491.6667,106666.6667,123500,141208.3333
92654,78745,Austin,TX,Austin,Travis,86,158658.3333,163508.3333,180250,203166.6667,230116.6667
92655,78746,Austin,TX,Austin,Travis,3242,643133.3333,670658.3333,741333.3333,793958.3333,823141.6667
92657,78748,Austin,TX,Austin,Travis,714,166991.6667,170800,186016.6667,206583.3333,226200
92658,78749,Austin,TX,Austin,Travis,1750,220483.3333,228266.6667,247908.3333,275358.3333,296275
92660,78751,Austin,TX,Austin,Travis,4787,265441.6667,277591.6667,307208.3333,342466.6667,381075
92661,78752,Austin,TX,Austin,Travis,4942,166116.6667,178041.6667,192450,228283.3333,249075
92662,78753,Austin,TX,Austin,Travis,493,126558.3333,132408.3333,139091.6667,150483.3333,166591.6667
92665,78756,Austin,TX,Austin,Travis,7454,314183.3333,332091.6667,368891.6667,399308.3333,431466.6667
92666,78757,Austin,TX,Austin,Travis,3750,235225,249141.6667,276666.6667,312425,350408.3333
92667,78758,Austin,TX,Austin,Travis,437,132058.3333,128991.6667,143400,157608.3333,186616.6667
92668,78759,Austin,TX,Austin,Travis,452,274358.3333,283583.3333,311741.6667,339075,367016.6667
92649,78738,Bee Cave,TX,Austin,Travis,5236,431700,436008.3333,446041.6667,479733.3333,498466.6667
92548,78610,Buda,TX,Austin,Hays,2887,166433.3333,167091.6667,175616.6667,191250,209266.6667
91452,76527,Florence,TX,Austin,Williamson,10606,149783.3333,150458.3333,162958.3333,174191.6667,176050
92563,78626,Georgetown,TX,Austin,Williamson,3798,139200,138916.6667,149808.3333,161816.6667,172516.6667
92565,78628,Georgetown,TX,Austin,Williamson,3261,202508.3333,206458.3333,220133.3333,234366.6667,251833.3333
399637,78633,Georgetown,TX,Austin,Williamson,3316,216941.6667,221791.6667,236575,263308.3333,280766.6667
91454,76530,Granger,TX,Austin,Williamson,11616,120233.3333,115466.6667,131641.6667,146425,154616.6667
92570,78634,Hutto,TX,Austin,Williamson,3836,128741.6667,128091.6667,134966.6667,146608.3333,159841.6667
91458,76537,Jarrell,TX,Austin,Williamson,9364,117575,115341.6667,123766.6667,133408.3333,143800
92640,78729,Jollyville,TX,Austin,Williamson,2280,177783.3333,180291.6667,194333.3333,217391.6667,235900
92575,78640,Kyle,TX,Austin,Hays,1170,131483.3333,131158.3333,135975,144141.6667,157050
92580,78645,Lago Vista,TX,Austin,Travis,6658,186883.3333,193441.6667,196941.6667,202775,223516.6667
92576,78641,Leander,TX,Austin,Williamson,626,142825,145766.6667,157250,170283.3333,186116.6667
92577,78642,Liberty Hill,TX,Austin,Williamson,7234,205408.3333,215841.6667,225066.6667,240700,264075
92597,78664,Round Rock,TX,Austin,Williamson,504,129241.6667,129933.3333,138491.6667,151725,165383.3333
399638,78665,Round Rock,TX,Austin,Williamson,1675,165166.6667,164725,179341.6667,195408.3333,213425
92610,78681,Round Rock,TX,Austin,Williamson,770,189216.6667,194925,208241.6667,225641.6667,240975
92585,78652,San Leanna,TX,Austin,Travis,9747,193525,200441.6667,211941.6667,228650,239316.6667
91486,76574,Taylor,TX,Austin,Williamson,5685,105866.6667,104150,110675,120033.3333,134516.6667
91488,76578,Thrall,TX,Austin,Williamson,12565,134825,122308.3333,128558.3333,143383.3333,167150
92607,78676,Wimberley,TX,Austin,Hays,5922,198500,194558.3333,195091.6667,212975,233750
