RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2011,2012,2013,2014,2015
91452,76527,Florence,TX,Austin,Williamson,12428,1247,1245,1295,1418,1446
91454,76530,Granger,TX,Austin,Williamson,13825,1065,1086,1154,1264,1362
91458,76537,Jarrell,TX,Austin,Williamson,10797,1116,1158,1211,1285,1366
91486,76574,Taylor,TX,Austin,Williamson,6302,1035,1076,1145,1224,1318
91488,76578,Thrall,TX,Austin,Williamson,15237,1060,1075,1119,1214,1364
92548,78610,Buda,TX,Austin,Hays,3177,1322,1348,1423,1550,1657
92555,78617,Austin,TX,Austin,Travis,6612,1122,1164,1203,1286,1372
92563,78626,Georgetown,TX,Austin,Williamson,4199,1212,1257,1316,1408,1469
92565,78628,Georgetown,TX,Austin,Williamson,3607,1486,1541,1595,1727,1789
399637,78633,Georgetown,TX,Austin,Williamson,3665,1536,1590,1656,1774,1795
92570,78634,Hutto,TX,Austin,Williamson,4237,1191,1232,1296,1352,1431
92575,78640,Kyle,TX,Austin,Hays,1292,1181,1237,1289,1359,1450
92576,78641,Leander,TX,Austin,Williamson,696,1276,1328,1391,1481,1570
92577,78642,Liberty Hill,TX,Austin,Williamson,8082,1444,1498,1514,1650,1743
92580,78645,Lago Vista,TX,Austin,Travis,7414,1367,1396,1520,1524,1607
92585,78652,San Leanna,TX,Austin,Travis,11280,1402,1438,1514,1690,1740
92597,78664,Round Rock,TX,Austin,Williamson,558,1200,1244,1314,1383,1444
399638,78665,Round Rock,TX,Austin,Williamson,1835,1371,1435,1464,1610,1682
92607,78676,Wimberley,TX,Austin,Hays,6568,1338,1331,1368,1490,1651
92610,78681,Round Rock,TX,Austin,Williamson,849,1491,1546,1614,1715,1753
92614,78701,Austin,TX,Austin,Travis,7302,1856,1959,2107,2167,2290
92615,78702,Austin,TX,Austin,Travis,4682,1294,1352,1451,1618,1803
92616,78703,Austin,TX,Austin,Travis,3531,2545,2565,2877,3121,3252
92617,78704,Austin,TX,Austin,Travis,97,1618,1714,1859,1983,2099
92628,78717,Austin,TX,Austin,Travis,3390,1660,1705,1800,1943,1999
92632,78721,Austin,TX,Austin,Travis,8793,1106,1139,1145,1341,1473
92633,78722,Austin,TX,Austin,Travis,9802,1408,1534,1651,1745,1945
92634,78723,Austin,TX,Austin,Travis,2786,1249,1292,1397,1539,1703
92636,78725,Austin,TX,Austin,Travis,10761,1063,1100,1149,1253,1328
92637,78726,Austin,TX,Austin,Travis,7110,2114,2264,2329,2340,2434
92638,78727,Austin,TX,Austin,Travis,2916,1324,1390,1494,1573,1691
92639,78728,Austin,TX,Austin,Travis,3923,1281,1341,1427,1500,1565
92640,78729,Jollyville,TX,Austin,Williamson,2500,1353,1412,1485,1595,1660
92642,78731,Austin,TX,Austin,Travis,2736,2422,2519,2683,2759,2945
92644,78733,Austin,TX,Austin,Travis,9822,2783,2785,2859,2892,3168
92646,78735,Austin,TX,Austin,Travis,5979,2141,2195,2339,2456,2492
92647,78736,Austin,TX,Austin,Travis,9657,1506,1568,1711,1821,1843
92649,78738,Bee Cave,TX,Austin,Travis,5808,2577,2575,2668,2777,3099
92650,78739,Austin,TX,Austin,Travis,7111,2171,2264,2382,2453,2525
92651,78741,Austin,TX,Austin,Travis,477,1071,1104,1142,1307,1375
92653,78744,Austin,TX,Austin,Travis,2173,1064,1112,1182,1285,1375
92654,78745,Austin,TX,Austin,Travis,110,1263,1303,1407,1497,1589
92655,78746,Austin,TX,Austin,Travis,3586,3432,3447,3728,4044,4224
92657,78748,Austin,TX,Austin,Travis,791,1324,1374,1468,1563,1665
92658,78749,Austin,TX,Austin,Travis,1916,1614,1693,1785,1909,1966
92660,78751,Austin,TX,Austin,Travis,5300,1446,1542,1649,1777,1958
92661,78752,Austin,TX,Austin,Travis,5475,1170,1225,1277,1397,1489
92662,78753,Austin,TX,Austin,Travis,546,1165,1219,1281,1349,1417
92665,78756,Austin,TX,Austin,Travis,8358,1641,1731,1881,1959,2130
92666,78757,Austin,TX,Austin,Travis,4149,1402,1497,1614,1675,1893
92667,78758,Austin,TX,Austin,Travis,488,1168,1220,1274,1360,1428
92668,78759,Austin,TX,Austin,Travis,504,1694,1767,1911,1958,2097
